Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
26.0,52.0,38.0,Sandy,Maize,37,0,0,Urea
29.0,52.0,45.0,Loamy,Sugarcane,12,0,36,DAP
34.0,65.0,62.0,Black,Cotton,7,9,30,14-35-14
32.0,62.0,34.0,Red,Tobacco,22,0,20,28-28
28.0,54.0,46.0,Clayey,Paddy,35,0,0,Urea
26.0,52.0,35.0,Sandy,Barley,12,10,13,17-17-17
25.0,50.0,64.0,Red,Cotton,9,0,10,20-20
33.0,64.0,50.0,Loamy,Wheat,41,0,0,Urea
30.0,60.0,42.0,Sandy,Millets,21,0,18,28-28
29.0,58.0,33.0,Black,Oil seeds,9,7,30,14-35-14
27.0,54.0,28.0,Clayey,Pulses,13,0,40,DAP
31.0,62.0,48.0,Sandy,Maize,14,15,12,17-17-17
25.0,50.0,65.0,Loamy,Cotton,36,0,0,Urea
32.0,62.0,41.0,Clayey,Paddy,24,0,22,28-28
26.0,52.0,31.0,Red,Ground Nuts,14,0,41,DAP
31.0,62.0,49.0,Black,Sugarcane,10,13,14,17-17-17
33.0,64.0,34.0,Clayey,Pulses,38,0,0,Urea
25.0,50.0,39.0,Sandy,Barley,21,0,19,28-28
28.0,54.0,65.0,Black,Cotton,39,0,0,Urea
29.0,58.0,52.0,Loamy,Wheat,13,0,36,DAP
30.0,60.0,44.0,Sandy,Millets,10,0,9,20-20
34.0,65.0,53.0,Loamy,Sugarcane,12,14,12,17-17-17
35.0,68.0,33.0,Red,Tobacco,11,0,37,DAP
28.0,54.0,37.0,Black,Millets,36,0,0,Urea
33.0,64.0,39.0,Clayey,Paddy,13,0,10,20-20
26.0,52.0,44.0,Sandy,Maize,23,0,20,28-28
30.0,60.0,63.0,Red,Cotton,9,9,29,14-35-14
32.0,62.0,30.0,Loamy,Sugarcane,38,0,0,Urea
37.0,70.0,32.0,Black,Oil seeds,12,0,39,DAP
26.0,52.0,36.0,Clayey,Pulses,14,0,13,20-20
29.0,58.0,40.0,Red,Ground Nuts,24,0,23,28-28
30.0,60.0,27.0,Loamy,Sugarcane,12,0,40,DAP
34.0,65.0,38.0,Clayey,Paddy,39,0,0,Urea
36.0,68.0,38.0,Sandy,Barley,7,9,30,14-35-14
26.0,52.0,48.0,Loamy,Wheat,23,0,19,28-28
28.0,54.0,35.0,Black,Millets,41,0,0,Urea
30.0,60.0,61.0,Loamy,Cotton,8,10,31,14-35-14
37.0,70.0,37.0,Clayey,Paddy,12,0,41,DAP
25.0,50.0,26.0,Red,Ground Nuts,15,14,11,17-17-17
29.0,58.0,34.0,Sandy,Millets,15,0,37,DAP
27.0,54.0,30.0,Clayey,Pulses,13,0,13,20-20
30.0,60.0,58.0,Loamy,Sugarcane,10,7,32,14-35-14
32.0,62.0,34.0,Red,Tobacco,22,0,24,28-28
34.0,65.0,60.0,Black,Sugarcane,35,0,0,Urea
35.0,67.0,42.0,Sandy,Barley,10,0,35,DAP
38.0,70.0,48.0,Loamy,Wheat,8,8,28,14-35-14
26.0,52.0,32.0,Black,Oil seeds,12,0,8,20-20
29.0,58.0,43.0,Clayey,Paddy,24,0,18,28-28
30.0,60.0,29.0,Red,Ground Nuts,41,0,0,Urea
33.0,64.0,51.0,Sandy,Maize,5,9,29,14-35-14
34.0,65.0,31.0,Red,Tobacco,23,0,21,28-28
36.0,68.0,33.0,Black,Oil seeds,13,0,14,20-20
28.0,54.0,38.0,Clayey,Pulses,40,0,0,Urea
30.0,60.0,47.0,Sandy,Barley,12,0,42,DAP
31.0,62.0,63.0,Red,Cotton,11,12,15,17-17-17
27.0,53.0,43.0,Black,Millets,23,0,24,28-28
34.0,65.0,54.0,Loamy,Wheat,38,0,0,Urea
29.0,58.0,37.0,Sandy,Millets,8,0,15,20-20
25.0,50.0,56.0,Loamy,Sugarcane,11,13,15,17-17-17
32.0,62.0,34.0,Red,Ground Nuts,15,0,37,DAP
28.0,54.0,41.0,Clayey,Paddy,36,0,0,Urea
30.0,60.0,49.0,Loamy,Wheat,13,0,9,20-20
34.0,65.0,64.0,Black,Cotton,24,0,20,28-28
28.0,54.0,47.0,Sandy,Barley,5,18,15,10-26-26
27.0,53.0,35.0,Black,Oil seeds,37,0,0,Urea
36.0,68.0,62.0,Red,Cotton,15,0,40,DAP
34.0,65.0,57.0,Black,Sugarcane,9,0,13,20-20
29.0,58.0,55.0,Loamy,Sugarcane,8,8,33,14-35-14
25.0,50.0,40.0,Clayey,Pulses,6,19,16,10-26-26
30.0,60.0,38.0,Sandy,Millets,10,0,14,20-20
26.0,52.0,39.0,Clayey,Pulses,21,0,23,28-28
31.0,62.0,32.0,Red,Tobacco,39,0,0,Urea
34.0,65.0,48.0,Loamy,Wheat,23,0,19,28-28
27.0,53.0,34.0,Black,Oil seeds,42,0,0,Urea
33.0,64.0,31.0,Red,Ground Nuts,13,0,39,DAP
29.0,58.0,42.0,Clayey,Paddy,9,10,22,14-35-14
30.0,60.0,47.0,Sandy,Maize,22,0,21,28-28
27.0,53.0,59.0,Loamy,Sugarcane,10,0,15,20-20
26.0,52.0,36.0,Clayey,Pulses,7,16,20,10-26-26
34.0,65.0,63.0,Red,Cotton,14,0,38,DAP
28.0,54.0,43.0,Clayey,Paddy,10,8,29,14-35-14
30.0,60.0,40.0,Sandy,Millets,41,0,0,Urea
29.0,58.0,65.0,Black,Cotton,14,0,35,DAP
26.0,52.0,59.0,Loamy,Sugarcane,11,0,9,20-20
31.0,62.0,44.0,Sandy,Barley,21,0,28,28-28
35.0,67.0,28.0,Clayey,Pulses,8,7,31,14-35-14
29.0,58.0,30.0,Red,Tobacco,13,17,16,10-26-26
27.0,53.0,30.0,Black,Millets,35,0,0,Urea
36.0,68.0,50.0,Loamy,Wheat,12,18,19,10-26-26
29.0,58.0,61.0,Loamy,Cotton,11,0,38,DAP
30.0,60.0,26.0,Black,Oil seeds,8,9,30,14-35-14
34.0,65.0,45.0,Clayey,Paddy,6,19,21,10-26-26
36.0,68.0,41.0,Red,Ground Nuts,41,0,0,Urea
28.0,54.0,25.0,Sandy,Maize,9,10,30,14-35-14
25.0,50.0,32.0,Clayey,Pulses,24,0,19,28-28
30.0,60.0,27.0,Red,Tobacco,4,17,17,10-26-26
38.0,72.0,51.0,Loamy,Wheat,39,0,0,Urea
36.0,60.0,43.0,Sandy,Millets,15,0,41,DAP
29.0,58.0,57.0,Black,Sugarcane,12,0,10,20-20
27.58,59.21,31.27,Loamy,Cotton,20,2,15,DAP
27.45,66.38,50.14,Black,Millets,9,12,14,28-28
27.25,63.62,40.35,Black,Wheat,28,0,22,Urea
28.84,58.91,33.06,Clayey,Millets,8,9,28,17-17-17
25.86,48.46,46.25,Red,Ground Nuts,40,2,0,28-28
25.59,63.6,46.33,Clayey,Cotton,11,0,11,28-28
29.17,68.19,30.65,Sandy,Oil seeds,6,4,14,Urea
36.05,73.59,58.17,Red,Millets,9,14,11,17-17-17
26.76,64.22,53.63,Sandy,Ground Nuts,5,8,30,28-28
27.66,53.58,40.96,Red,Cotton,41,0,3,20-20
28.27,52.88,43.3,Black,Wheat,40,0,0,10-26-26
38.39,69.51,65.09,Clayey,Oil seeds,8,1,16,Urea
28.74,56.8,54.07,Loamy,Cotton,15,0,35,DAP
30.63,63.88,38.71,Loamy,Paddy,19,4,28,DAP
26.02,52.46,31.12,Loamy,Barley,11,5,12,10-26-26
34.71,64.94,52.62,Sandy,Oil seeds,9,22,21,14-35-14
23.71,51.25,30.5,Black,Oil seeds,11,0,8,17-17-17
30.63,61.45,23.18,Black,Maize,37,2,4,17-17-17
23.63,52.62,31.03,Clayey,Sugarcane,12,13,13,14-35-14
27.65,58.09,69.07,Clayey,Oil seeds,16,3,32,10-26-26
31.19,60.94,30.51,Black,Paddy,12,0,36,Urea
37.12,72.87,47.06,Sandy,Tobacco,45,2,0,Urea
33.52,60.46,47.85,Black,Pulses,7,15,16,DAP
29.44,59.34,55.51,Loamy,Sugarcane,10,3,31,17-17-17
33.24,69.48,65.48,Clayey,Cotton,8,13,28,10-26-26
20.85,53.18,43.77,Loamy,Tobacco,2,20,19,Urea
38.42,73.97,50.41,Loamy,Sugarcane,11,1,36,DAP
29.04,71.09,21.12,Sandy,Maize,34,0,3,14-35-14
